Thu Apr 10 20:18:29 2025 | Prediction: 1 | URL: https://caniphish.com/free-phishing-test/phishing-website-templates#signupForm
Sat Apr 12 10:30:21 2025 | https://caniphish.com/free-phishing-test/phishing-website-templates#signupForm | PHISHING
Sat Apr 12 10:31:58 2025 | https://caniphish.com/free-phishing-test/phishing-website-templates#signupForm | PHISHING
Sat Apr 12 10:32:00 2025 | https://caniphish.com/free-phishing-test/phishing-website-templates#signupForm | PHISHING
Sat Apr 12 10:53:03 2025 | https://caniphish.com/free-phishing-test/phishing-website-templates#signupForm | PHISHING
Tue May  6 18:54:17 2025 | https://caniphish.com/ | PHISHING
Tue May  6 19:01:00 2025 | https://www.google.com/search?q=caniphish&oq=caniph&gs_lcrp=EgZjaHJvbWUqBwgAEAAYgAQyBwgAEAAYgAQyBggBEEUYOTIHCAIQABiABDIHCAMQABiABDIVCAQQLhgKGK8BGMcBGIAEGJgFGJkFMgkIBRAAGAoYgAQyCQgGEAAYChiABDIJCAcQLhgKGIAEMgkICBAAGAoYgAQyCQgJEC4YChiABKgCCLACAfEF2FlhCT0bVMPxBdhZYQk9G1TD&sourceid=chrome&ie=UTF-8&sei=Hg8aaIziMIqb4-EPtsT28Aw | PHISHING
Tue May  6 19:02:11 2025 | https://www.google.com/search?q=caniphish&oq=ca&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARBFGDkyEwgCEC4YgwEYxwEYsQMY0QMYgAQyDQgDEAAYgwEYsQMYgAQyEAgEEC4YxwEYsQMY0QMYgAQyCggFEAAYsQMYgAQyCggGEAAYsQMYgAQyDQgHEAAYgwEYsQMYgAQyCggIEAAYsQMYgATSAQkxNDgwajBqMTWoAgiwAgHxBY4398R044lx&sourceid=chrome&ie=UTF-8 | PHISHING
Tue May  6 19:02:49 2025 | https://caniphish.com/ | PHISHING
Tue May  6 19:03:35 2025 | https://www.google.com/search?q=st.joseph+college+chennai&rlz=1C1RXQR_en-GBIN1105IN1109&oq=&gs_lcrp=EgZjaHJvbWUqBggBEEUYOzIGCAAQRRg6MgYIARBFGDsyBggCEEUYOTIHCAMQLhiABDIHCAQQLhiABDIGCAUQRRg80gEIMzI2OWowajeoAgCwAgA&sourceid=chrome&ie=UTF-8 | PHISHING
Tue May  6 20:58:00 2025 | https://stjosephs.ac.in/index.html | PHISHING
Tue May  6 20:59:38 2025 | https://stjosephs.ac.in/index.html | PHISHING
Tue May  6 21:02:05 2025 | https://www.amazon.in/?&tag=googhydrabk1-21&ref=pd_sl_5szpgfto9i_e&adgrpid=155259813593&hvpone=&hvptwo=&hvadid=748926027055&hvpos=&hvnetw=g&hvrand=8644182181661256420&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9061891&hvtargid=kwd-64107830&hydadcr=14452_2417699&gad_source=1 | PHISHING
Tue May  6 21:02:25 2025 | https://caniphish.com/ | PHISHING
Tue May  6 21:36:33 2025 | https://www.amazon.in/?&tag=googhydrabk1-21&ref=pd_sl_5szpgfto9i_e&adgrpid=155259813593&hvpone=&hvptwo=&hvadid=748926027055&hvpos=&hvnetw=g&hvrand=13382865131084583521&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9061891&hvtargid=kwd-64107830&hydadcr=14452_2417699&gad_source=1 | PHISHING
Tue May  6 21:36:55 2025 | https://caniphish.com/ | PHISHING
Tue May  6 21:37:47 2025 | https://stjosephs.ac.in/index.html | PHISHING
Tue May  6 21:38:19 2025 | https://www.amazon.in/?&tag=googhydrabk1-21&ref=pd_sl_5szpgfto9i_e&adgrpid=155259813593&hvpone=&hvptwo=&hvadid=748926027055&hvpos=&hvnetw=g&hvrand=13836573010174373531&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9061891&hvtargid=kwd-64107830&hydadcr=14452_2417699&gad_source=1 | PHISHING
Tue May  6 21:38:43 2025 | https://caniphish.com/ | PHISHING
Tue May  6 21:38:44 2025 | https://caniphish.com/ | PHISHING
Tue May  6 21:42:02 2025 | https://www.amazon.in/?&tag=googhydrabk1-21&ref=pd_sl_5szpgfto9i_e&adgrpid=155259813593&hvpone=&hvptwo=&hvadid=748926027055&hvpos=&hvnetw=g&hvrand=16730801258239127909&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9061891&hvtargid=kwd-64107830&hydadcr=14452_2417699&gad_source=1 | PHISHING
Tue May  6 21:42:25 2025 | https://caniphish.com/ | PHISHING
Wed May  7 08:44:37 2025 | https://www.amazon.in/?&tag=googhydrabk1-21&ref=pd_sl_5szpgfto9i_e&adgrpid=155259813593&hvpone=&hvptwo=&hvadid=748926027055&hvpos=&hvnetw=g&hvrand=15440501438818170657&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9299200&hvtargid=kwd-64107830&hydadcr=14452_2417699&gad_source=1 | PHISHING
Wed May  7 08:44:59 2025 | https://caniphish.com/ | PHISHING
Wed May  7 08:58:56 2025 | https://caniphish.com/ | PHISHING
Thu May  8 11:51:22 2025 | chrome-error://chromewebdata/ | PHISHING
Fri May  9 13:59:59 2025 | https://www.amazon.in/b/?_encoding=UTF8&node=6802110031&pd_rd_w=AjgXV&content-id=amzn1.sym.39302e2a-935a-4451-95e8-6d7fd30c089d&pf_rd_p=39302e2a-935a-4451-95e8-6d7fd30c089d&pf_rd_r=T8T5S74V1BYF221H3MG4&pd_rd_wg=fGiEU&pd_rd_r=e6acb4f8-2803-48d4-be35-f27e118447b6&ref_=pd_hp_d_hero_unk | PHISHING
Fri May  9 14:00:49 2025 | https://caniphish.com/ | PHISHING
